customer_city,customer_email,customer_fname,customer_id,customer_lname,customer_password,customer_segment,customer_state,customer_street,customer_zipcode
Hickory,XXXXXXXXX,Mary,11667,Brooks,XXXXXXXXX,Corporate,NC,786 Golden Forest Terrace,28601
Salt Lake City,XXXXXXXXX,David,4942,Gill,XXXXXXXXX,Corporate,UT,4365 Dusty Thicket,84119
Caguas,XXXXXXXXX,Gerald,4521,Smith,XXXXXXXXX,Home Office,PR,7694 Velvet Turnabout,725
Caguas,XXXXXXXXX,Nancy,7629,Pena,XXXXXXXXX,Home Office,PR,9138 Indian Nook,725
Caguas,XXXXXXXXX,Arthur,301,Smith,XXXXXXXXX,Home Office,PR,6956 Misty Anchor Close,725
Caguas,XXXXXXXXX,Betty,4459,Neal,XXXXXXXXX,Home Office,PR,8671 Iron Anchor Corners,725
San Sebastian,XXXXXXXXX,Emily,5455,Simmons,XXXXXXXXX,Home Office,PR,8434 Cinder Private,685
Caguas,XXXXXXXXX,Frank,2088,Rhodes,XXXXXXXXX,Home Office,PR,8547 Foggy Pines,725
Caguas,XXXXXXXXX,Mary,3509,Perry,XXXXXXXXX,Home Office,PR,8172 Quaking Bluff Diversion,725
Caguas,XXXXXXXXX,Gloria,13592,Torres,XXXXXXXXX,Home Office,PR,2592 Colonial Pointe,725
Caguas,XXXXXXXXX,Cynthia,743,Smith,XXXXXXXXX,Home Office,PR,2668 Velvet Row,725
Caguas,XXXXXXXXX,Marilyn,5516,Woods,XXXXXXXXX,Home Office,PR,2457 Quiet Autumn Highway,725
Caguas,XXXXXXXXX,Mary,5110,Smith,XXXXXXXXX,Home Office,PR,8719 Dewy Goose Via,725
Caguas,XXXXXXXXX,Jane,6275,Smith,XXXXXXXXX,Home Office,PR,3663 Umber Cloud Arbor,725
Caguas,XXXXXXXXX,Alice,10348,Barnes,XXXXXXXXX,Home Office,PR,8010 Velvet Townline,725
Caguas,XXXXXXXXX,Mary,7083,Shannon,XXXXXXXXX,Home Office,PR,3796 Lost Hollow,725
Caguas,XXXXXXXXX,William,6498,Smith,XXXXXXXXX,Home Office,PR,2301 Velvet Berry Meadow,725
Caguas,XXXXXXXXX,Mary,192,Hall,XXXXXXXXX,Home Office,PR,3342 Bright Robin Stead,725
Caguas,XXXXXXXXX,John,5450,Harris,XXXXXXXXX,Home Office,PR,6296 Misty Goose Avenue,725
Caguas,XXXXXXXXX,Lori,3235,Baker,XXXXXXXXX,Home Office,PR,2395 Misty Carrefour,725
Caguas,XXXXXXXXX,Jennifer,5731,Smith,XXXXXXXXX,Home Office,PR,6704 Misty Rabbit Autoroute,725
Caguas,XXXXXXXXX,Barbara,8836,Hall,XXXXXXXXX,Home Office,PR,9880 Middle Glen,725
Caguas,XXXXXXXXX,Mary,2000,Vance,XXXXXXXXX,Home Office,PR,4711 Grand Pioneer Promenade,725
Caguas,XXXXXXXXX,Joan,10982,Harris,XXXXXXXXX,Home Office,PR,5599 Grand Pond Chase,725
Caguas,XXXXXXXXX,Kathryn,11846,Smith,XXXXXXXXX,Home Office,PR,5356 Dusty Elk Boulevard,725
Caguas,XXXXXXXXX,Mark,9868,Cohen,XXXXXXXXX,Home Office,PR,4148 Stony Swale,725
Caguas,XXXXXXXXX,Robert,4330,Cantrell,XXXXXXXXX,Home Office,PR,4791 Harvest Quail Limits,725
Caguas,XXXXXXXXX,Mary,7988,Rice,XXXXXXXXX,Home Office,PR,2797 Golden Ramp,725
San Sebastian,XXXXXXXXX,Mary,8128,Smith,XXXXXXXXX,Home Office,PR,586 Gentle Anchor Chase,685
Caguas,XXXXXXXXX,Mary,2824,Bray,XXXXXXXXX,Home Office,PR,18 Jagged Willow Beach,725
Caguas,XXXXXXXXX,Mary,7104,Rangel,XXXXXXXXX,Home Office,PR,7516 Hidden Valley,725
Caguas,XXXXXXXXX,Mary,6348,Henson,XXXXXXXXX,Home Office,PR,3313 Golden Ridge,725
Caguas,XXXXXXXXX,Mary,8072,Rogers,XXXXXXXXX,Home Office,PR,9304 Emerald Oak Plaza,725
Caguas,XXXXXXXXX,Mary,5306,Conley,XXXXXXXXX,Home Office,PR,6077 Golden Gate Road,725
Caguas,XXXXXXXXX,Mary,7309,Smith,XXXXXXXXX,Home Office,PR,826 High Butterfly Hollow,725
Caguas,XXXXXXXXX,William,9562,Jones,XXXXXXXXX,Home Office,PR,1820 Iron Zephyr Hill,725
Caguas,XXXXXXXXX,Mary,12203,Miller,XXXXXXXXX,Home Office,PR,6274 Middle Bluff Valley,725
Caguas,XXXXXXXXX,Tyler,513,Smith,XXXXXXXXX,Home Office,PR,4898 Heather Mountain Villas,725
Caguas,XXXXXXXXX,Mary,1266,Armstrong,XXXXXXXXX,Home Office,PR,6580 High Circle,725
Caguas,XXXXXXXXX,Mary,9830,Frey,XXXXXXXXX,Home Office,PR,8988 Shady Park,725
Caguas,XXXXXXXXX,Paloma,12468,Mitchell,XXXXXXXXX,Home Office,PR,2082 Hidden Green,725
Caguas,XXXXXXXXX,Carolyn,12555,Lang,XXXXXXXXX,Home Office,PR,5488 Thunder Fox Extension,725
Caguas,XXXXXXXXX,Willow,12679,Barr,XXXXXXXXX,Home Office,PR,7637 Silver Lake Passage,725
Caguas,XXXXXXXXX,Nell,12445,Mcfarland,XXXXXXXXX,Home Office,PR,3616 Quaking Street,725
Caguas,XXXXXXXXX,Jolie,12711,Reed,XXXXXXXXX,Home Office,PR,9598 Iron Park,725
Caguas,XXXXXXXXX,McKenzie,12494,Goodman,XXXXXXXXX,Home Office,PR,4770 Blue Pines,725
Caguas,XXXXXXXXX,Rosalyn,12600,Skinner,XXXXXXXXX,Home Office,PR,4527 Silent Fawn Wharf,725
Caguas,XXXXXXXXX,Jade,12708,Morse,XXXXXXXXX,Home Office,PR,4063 Little Creek Court,725
Caguas,XXXXXXXXX,Gwendolyn,12563,Taylor,XXXXXXXXX,Home Office,PR,437 Cozy Log Range,725
Caguas,XXXXXXXXX,Lee,15052,Farley,XXXXXXXXX,Home Office,PR,4417 Dusty Elk Cape,725
Caguas,XXXXXXXXX,Diana,10067,Williams,XXXXXXXXX,Home Office,PR,9695 Bright Path,725
Caguas,XXXXXXXXX,Stephanie,5484,Clark,XXXXXXXXX,Home Office,PR,5566 Silver Route,725
Caguas,XXXXXXXXX,Mary,8559,Rogers,XXXXXXXXX,Home Office,PR,2717 Thunder Park,725
Caguas,XXXXXXXXX,Mary,2958,Oconnell,XXXXXXXXX,Home Office,PR,7802 Grand Spring Chase,725
Caguas,XXXXXXXXX,Cheryl,5396,Smith,XXXXXXXXX,Home Office,PR,5348 Gentle Hickory Concession,725
Caguas,XXXXXXXXX,Linda,9879,Ibarra,XXXXXXXXX,Home Office,PR,1706 Pleasant Park,725
Manati,XXXXXXXXX,Roy,11522,Smith,XXXXXXXXX,Home Office,PR,9202 Clear Highway,674
Caguas,XXXXXXXXX,Jordan,5787,Medina,XXXXXXXXX,Home Office,PR,3880 Emerald Villas,725
Caguas,XXXXXXXXX,Michael,9187,Smith,XXXXXXXXX,Home Office,PR,6879 Emerald Way,725
Caguas,XXXXXXXXX,Donald,9706,Gordon,XXXXXXXXX,Home Office,PR,3240 Foggy Hickory Corner,725
Caguas,XXXXXXXXX,Brenda,10820,Smith,XXXXXXXXX,Home Office,PR,6764 Blue Pony Farm,725
Caguas,XXXXXXXXX,Elizabeth,7563,Moody,XXXXXXXXX,Home Office,PR,9236 High Lake Maze,725
Caguas,XXXXXXXXX,Mary,2244,Smith,XXXXXXXXX,Home Office,PR,9042 Jagged Elk Private,725
Caguas,XXXXXXXXX,Crystal,11166,Brown,XXXXXXXXX,Home Office,PR,1893 Pleasant Isle,725
Caguas,XXXXXXXXX,Timothy,8602,Gilbert,XXXXXXXXX,Home Office,PR,469 Middle Berry Abbey,725
Mayaguez,XXXXXXXXX,Janet,11424,Smith,XXXXXXXXX,Home Office,PR,8662 Jagged Hickory Extension,680
Caguas,XXXXXXXXX,Denise,11332,Smith,XXXXXXXXX,Home Office,PR,139 Little Bear Chase,725
Caguas,XXXXXXXXX,Mark,1601,Padilla,XXXXXXXXX,Home Office,PR,5737 Rocky Crescent,725
Caguas,XXXXXXXXX,Mary,12037,Mccann,XXXXXXXXX,Home Office,PR,7640 Honey Apple Route,725
Caguas,XXXXXXXXX,Alexander,92,Medina,XXXXXXXXX,Home Office,PR,2805 Dewy Impasse,725
Caguas,XXXXXXXXX,Brenda,9049,Wright,XXXXXXXXX,Home Office,PR,1491 Burning Pine Wynd,725
Caguas,XXXXXXXXX,Mary,4274,Smith,XXXXXXXXX,Home Office,PR,5032 Little Branch Stead,725
Caguas,XXXXXXXXX,Emily,7633,Smith,XXXXXXXXX,Home Office,PR,7469 Thunder Bear Drive,725
Caguas,XXXXXXXXX,Samantha,12394,Sims,XXXXXXXXX,Home Office,PR,8170 Dusty Oak Townline,725
Caguas,XXXXXXXXX,Mary,10048,Cooke,XXXXXXXXX,Home Office,PR,1550 Rustic Grove Farms,725
Caguas,XXXXXXXXX,Juan,3265,Pena,XXXXXXXXX,Home Office,PR,8666 Quiet Pointe,725
Caguas,XXXXXXXXX,Mary,9133,Pennington,XXXXXXXXX,Home Office,PR,7780 Broad Leaf Point,725
Caguas,XXXXXXXXX,Samantha,6661,Floyd,XXXXXXXXX,Home Office,PR,9036 Bright Brook Route,725
Caguas,XXXXXXXXX,John,10845,Smith,XXXXXXXXX,Home Office,PR,4692 Stony Island,725
Caguas,XXXXXXXXX,Mary,5844,Smith,XXXXXXXXX,Home Office,PR,9406 Tawny Apple Rise,725
Caguas,XXXXXXXXX,Paul,6106,Moore,XXXXXXXXX,Home Office,PR,6640 Golden Avenue,725
Caguas,XXXXXXXXX,Jonathan,2706,Turner,XXXXXXXXX,Home Office,PR,3707 Gentle Chase,725
Caguas,XXXXXXXXX,Susan,4420,Owen,XXXXXXXXX,Home Office,PR,830 Quaking Bear Grounds,725
Caguas,XXXXXXXXX,Mary,9070,Smith,XXXXXXXXX,Home Office,PR,4728 Lazy Elk Circuit,725
Caguas,XXXXXXXXX,Madison,3188,Ray,XXXXXXXXX,Home Office,PR,9276 Jagged Towers,725
Caguas,XXXXXXXXX,James,4440,Garrett,XXXXXXXXX,Home Office,PR,1082 Quiet Treasure Link,725
Caguas,XXXXXXXXX,Mary,2914,Smith,XXXXXXXXX,Home Office,PR,263 Harvest Wood,725
Caguas,XXXXXXXXX,Albert,4311,Collins,XXXXXXXXX,Home Office,PR,4021 Rocky Prairie Gardens,725
Caguas,XXXXXXXXX,Bobby,8957,Howard,XXXXXXXXX,Home Office,PR,8861 Hidden Bear Hill,725
Caguas,XXXXXXXXX,Mary,357,King,XXXXXXXXX,Home Office,PR,23 Old Corners,725
Rio Grande,XXXXXXXXX,Jennifer,9213,Williamson,XXXXXXXXX,Home Office,PR,8265 Rocky Rabbit Concession,745
Caguas,XXXXXXXXX,Vincent,6459,Valenzuela,XXXXXXXXX,Home Office,PR,8187 Fallen Embers Mall,725
Caguas,XXXXXXXXX,Jerry,342,Jackson,XXXXXXXXX,Home Office,PR,2592 Colonial Pointe,725
Caguas,XXXXXXXXX,Scott,2312,Shah,XXXXXXXXX,Home Office,PR,8852 Shady Glade,725
Caguas,XXXXXXXXX,Ruth,3414,Smith,XXXXXXXXX,Home Office,PR,2355 Velvet Hickory Crest,725
Caguas,XXXXXXXXX,Cynthia,199,Horn,XXXXXXXXX,Home Office,PR,9092 Middle Deer Dale,725
Caguas,XXXXXXXXX,Mary,5425,Aguirre,XXXXXXXXX,Home Office,PR,4311 Thunder Heath,725
Caguas,XXXXXXXXX,Elizabeth,8984,Bowen,XXXXXXXXX,Home Office,PR,4123 Cinder Acres,725
Caguas,XXXXXXXXX,Ronald,5622,Hall,XXXXXXXXX,Home Office,PR,3698 Sleepy Park,725
Caguas,XXXXXXXXX,David,6918,Smith,XXXXXXXXX,Home Office,PR,6750 Jagged Fox Isle,725
Caguas,XXXXXXXXX,Linda,1533,Kent,XXXXXXXXX,Home Office,PR,953 Merry Fawn Harbour,725
Caguas,XXXXXXXXX,David,4144,Collins,XXXXXXXXX,Home Office,PR,8478 Foggy Log Nook,725
Caguas,XXXXXXXXX,Emma,5352,Richards,XXXXXXXXX,Home Office,PR,1438 Round Trail,725
Caguas,XXXXXXXXX,John,116,Hill,XXXXXXXXX,Home Office,PR,3996 Honey Grove Place,725
Caguas,XXXXXXXXX,Susan,6692,Jackson,XXXXXXXXX,Home Office,PR,3930 Cozy Byway,725
Caguas,XXXXXXXXX,Larry,1780,Sharp,XXXXXXXXX,Home Office,PR,5953 Lost Plaza,725
Caguas,XXXXXXXXX,David,2582,Franklin,XXXXXXXXX,Home Office,PR,4311 Thunder Heath,725
Caguas,XXXXXXXXX,Kathy,6994,Frost,XXXXXXXXX,Home Office,PR,5814 Grand Oak Impasse,725
Caguas,XXXXXXXXX,William,10570,Moore,XXXXXXXXX,Home Office,PR,5546 Indian Expressway,725
Caguas,XXXXXXXXX,Mary,9461,Hoover,XXXXXXXXX,Home Office,PR,8495 Lazy Rabbit Diversion,725
Caguas,XXXXXXXXX,Mary,11876,Smith,XXXXXXXXX,Home Office,PR,8279 Sleepy Willow Bay,725
Caguas,XXXXXXXXX,Mary,9068,Smith,XXXXXXXXX,Home Office,PR,9660 Dewy Leaf Freeway,725
Caguas,XXXXXXXXX,Mary,9270,Moses,XXXXXXXXX,Home Office,PR,5393 Silent Landing,725
Caguas,XXXXXXXXX,Eric,7519,Harrell,XXXXXXXXX,Home Office,PR,4590 Gentle River Wood,725
Caguas,XXXXXXXXX,William,4257,Smith,XXXXXXXXX,Home Office,PR,2749 Green Cider Green,725
Caguas,XXXXXXXXX,James,8859,Koch,XXXXXXXXX,Home Office,PR,9440 Emerald Towers,725
Caguas,XXXXXXXXX,Mary,9241,Norris,XXXXXXXXX,Home Office,PR,6548 Clear Towers,725
Caguas,XXXXXXXXX,Mary,7789,Sullivan,XXXXXXXXX,Home Office,PR,9126 Wishing Expressway,725
Caguas,XXXXXXXXX,Jessica,4675,Smith,XXXXXXXXX,Home Office,PR,9792 Cozy Corners,725
Caguas,XXXXXXXXX,Elizabeth,10453,Brewer,XXXXXXXXX,Home Office,PR,872 Bright Leaf Vista,725
Caguas,XXXXXXXXX,Mary,2743,Smith,XXXXXXXXX,Home Office,PR,1185 Sleepy Log Street,725
Caguas,XXXXXXXXX,Shawn,9243,Gross,XXXXXXXXX,Home Office,PR,1098 Fallen By-pass,725
Caguas,XXXXXXXXX,Mary,5438,Smith,XXXXXXXXX,Home Office,PR,3593 Blue Brook Acres,725
Caguas,XXXXXXXXX,Angela,5128,Franklin,XXXXXXXXX,Home Office,PR,1102 Cozy Wynd,725
Caguas,XXXXXXXXX,Jacob,12056,Perkins,XXXXXXXXX,Home Office,PR,2736 Easy Gardens,725
Caguas,XXXXXXXXX,Mary,11470,Strong,XXXXXXXXX,Home Office,PR,6575 Little Boulevard,725
Caguas,XXXXXXXXX,Mary,10262,Smith,XXXXXXXXX,Home Office,PR,5443 Hazy Pond Way,725
Caguas,XXXXXXXXX,Zachary,282,Pugh,XXXXXXXXX,Home Office,PR,1208 Cotton Bluff Carrefour,725
Caguas,XXXXXXXXX,Reagan,18077,Daniels,XXXXXXXXX,Home Office,PR,8549 Dusty View Mountain,725
Trujillo Alto,XXXXXXXXX,Amy,19106,Guerra,XXXXXXXXX,Home Office,PR,4480 Pleasant Branch Parkway,976
Caguas,XXXXXXXXX,Celeste,19206,Knight,XXXXXXXXX,Home Office,PR,355 Amber Elk Abbey,725
Caguas,XXXXXXXXX,Hedwig,16469,Ellison,XXXXXXXXX,Home Office,PR,6924 Lazy Embers Pathway,725
Caguas,XXXXXXXXX,Kimberly,15752,Jacobson,XXXXXXXXX,Home Office,PR,8279 Sleepy Willow Bay,725
Caguas,XXXXXXXXX,Yvette,15779,Jefferson,XXXXXXXXX,Home Office,PR,1655 Little Bear Circle,725
Caguas,XXXXXXXXX,Stephanie,1920,Archer,XXXXXXXXX,Home Office,PR,2749 Dusty Orchard,725
Caguas,XXXXXXXXX,Mary,5890,Baldwin,XXXXXXXXX,Home Office,PR,3360 Umber Bend,725
Caguas,XXXXXXXXX,Mary,11500,Martin,XXXXXXXXX,Home Office,PR,2993 Burning Dale Farms,725
Caguas,XXXXXXXXX,Nathan,12420,Adams,XXXXXXXXX,Home Office,PR,2877 Thunder Spring Isle,725
Caguas,XXXXXXXXX,Mary,5187,Smith,XXXXXXXXX,Home Office,PR,3183 Blue Route,725
Caguas,XXXXXXXXX,Mary,174,Perez,XXXXXXXXX,Home Office,PR,6332 Round Range,725
Caguas,XXXXXXXXX,Mary,1809,Smith,XXXXXXXXX,Home Office,PR,2616 Tawny Elk Park,725
Caguas,XXXXXXXXX,Noelle,18408,Barron,XXXXXXXXX,Home Office,PR,1802 Wishing Line,725
Caguas,XXXXXXXXX,Amy,2753,Smith,XXXXXXXXX,Home Office,PR,9653 Stony Campus,725
Caguas,XXXXXXXXX,Mary,4560,Smith,XXXXXXXXX,Home Office,PR,4938 Crystal Creek Ramp,725
Caguas,XXXXXXXXX,Maria,2876,Smith,XXXXXXXXX,Home Office,PR,5883 Dusty Drive,725
Caguas,XXXXXXXXX,Marie,9191,Smith,XXXXXXXXX,Home Office,PR,7368 Blue Road,725
Caguas,XXXXXXXXX,Amber,10372,Martin,XXXXXXXXX,Home Office,PR,6481 Golden Island,725
Caguas,XXXXXXXXX,James,8027,Smith,XXXXXXXXX,Home Office,PR,9451 Bright Walk,725
Caguas,XXXXXXXXX,Mary,10559,Jones,XXXXXXXXX,Home Office,PR,9009 Umber Log Island,725
Caguas,XXXXXXXXX,Betty,2381,Smith,XXXXXXXXX,Home Office,PR,3656 Silver Cider Byway,725
Caguas,XXXXXXXXX,Julia,1824,Tucker,XXXXXXXXX,Home Office,PR,9074 Rustic Parade,725
Caguas,XXXXXXXXX,Sharon,4670,Bailey,XXXXXXXXX,Home Office,PR,3890 Jagged Apple Dell,725
Caguas,XXXXXXXXX,Mary,6363,Freeman,XXXXXXXXX,Home Office,PR,4311 Round Ridge,725
Caguas,XXXXXXXXX,Mary,3702,Smith,XXXXXXXXX,Home Office,PR,7890 Clear Corner,725
Caguas,XXXXXXXXX,Betty,1027,Evans,XXXXXXXXX,Home Office,PR,870 Cinder Mountain Avenue,725
Caguas,XXXXXXXXX,Brynn,20491,Moreno,XXXXXXXXX,Home Office,PR,8265 Foggy Mountain Isle,725
Caguas,XXXXXXXXX,Juan,7866,Smith,XXXXXXXXX,Home Office,PR,4992 Jagged Forest Subdivision,725
Caguas,XXXXXXXXX,Crystal,685,Smith,XXXXXXXXX,Home Office,PR,2513 Sleepy Log Grounds,725
Caguas,XXXXXXXXX,Desiree,18506,Smith,XXXXXXXXX,Home Office,PR,1655 Sleepy Pine Common,725
Caguas,XXXXXXXXX,Mary,10658,Smith,XXXXXXXXX,Home Office,PR,3915 Iron Corner,725
Caguas,XXXXXXXXX,Barbara,30,Smith,XXXXXXXXX,Home Office,PR,2455 Merry Hollow,725
Caguas,XXXXXXXXX,Anthony,10451,Soto,XXXXXXXXX,Home Office,PR,937 Golden Carrefour,725
Caguas,XXXXXXXXX,Randy,9057,Brown,XXXXXXXXX,Home Office,PR,1802 Wishing Harbour,725
Caguas,XXXXXXXXX,Mary,10747,Bates,XXXXXXXXX,Home Office,PR,4775 Old Street,725
Caguas,XXXXXXXXX,David,732,Cobb,XXXXXXXXX,Home Office,PR,5193 Amber Cider Path,725
Caguas,XXXXXXXXX,Mary,1558,Smith,XXXXXXXXX,Home Office,PR,9394 Clear Corner,725
Caguas,XXXXXXXXX,Roger,6085,Flores,XXXXXXXXX,Home Office,PR,9768 Silent Island Port,725
Caguas,XXXXXXXXX,Christen,20486,Camacho,XXXXXXXXX,Home Office,PR,6997 Middle Acres,725
Caguas,XXXXXXXXX,Eric,2982,Smith,XXXXXXXXX,Home Office,PR,1112 Sunny Pond Wood,725
Caguas,XXXXXXXXX,Samuel,4415,Mitchell,XXXXXXXXX,Home Office,PR,9135 Green Island Moor,725
Caguas,XXXXXXXXX,Mary,7652,Guerrero,XXXXXXXXX,Consumer,PR,7074 Sleepy Heights,725
Caguas,XXXXXXXXX,Amy,4160,Ryan,XXXXXXXXX,Consumer,PR,9731 Honey Fox Towers,725
Caguas,XXXXXXXXX,Mary,7927,Dickson,XXXXXXXXX,Consumer,PR,9524 Amber Terrace,725
Yauco,XXXXXXXXX,Teresa,1786,Salazar,XXXXXXXXX,Consumer,PR,4927 Dewy Farms,698
Caguas,XXXXXXXXX,Crystal,8357,Benjamin,XXXXXXXXX,Consumer,PR,4868 Easy Diversion,725
Caguas,XXXXXXXXX,Mark,8932,Thornton,XXXXXXXXX,Consumer,PR,5272 Lazy Campus,725
Caguas,XXXXXXXXX,Mary,5125,Miller,XXXXXXXXX,Consumer,PR,6711 Blue Passage,725
Caguas,XXXXXXXXX,Mary,12342,Velez,XXXXXXXXX,Consumer,PR,7056 Hidden Pike,725
Caguas,XXXXXXXXX,Stephen,4340,Beck,XXXXXXXXX,Consumer,PR,2568 Rustic Valley,725
Manati,XXXXXXXXX,Samantha,12014,Smith,XXXXXXXXX,Consumer,PR,6097 Dewy Treasure Farm,674
Caguas,XXXXXXXXX,Mark,5143,Smith,XXXXXXXXX,Consumer,PR,8172 Easy River Farms,725
Caguas,XXXXXXXXX,Walter,3010,Hamilton,XXXXXXXXX,Consumer,PR,3440 Grand Road,725
Caguas,XXXXXXXXX,Mary,1251,Adams,XXXXXXXXX,Consumer,PR,4114 Lost Blossom Farms,725
Caguas,XXXXXXXXX,Kimberly,4851,Mcgrath,XXXXXXXXX,Consumer,PR,164 Stony Field,725
Caguas,XXXXXXXXX,Joan,8020,Davis,XXXXXXXXX,Consumer,PR,6274 Middle Bluff Valley,725
Caguas,XXXXXXXXX,Amy,7749,Gibson,XXXXXXXXX,Consumer,PR,4905 Umber Corners,725
Caguas,XXXXXXXXX,Emma,3202,Wilson,XXXXXXXXX,Consumer,PR,866 Crystal Path,725
Caguas,XXXXXXXXX,Mary,942,Smith,XXXXXXXXX,Consumer,PR,6828 Tawny Ridge,725
Caguas,XXXXXXXXX,Mary,5992,Cross,XXXXXXXXX,Consumer,PR,3820 Iron Inlet,725
Caguas,XXXXXXXXX,Elizabeth,4490,Smith,XXXXXXXXX,Consumer,PR,6317 Golden Bear Dell,725
Caguas,XXXXXXXXX,Maria,4001,Nixon,XXXXXXXXX,Consumer,PR,2517 Shady Branch Avenue,725
Caguas,XXXXXXXXX,Mary,8386,Smith,XXXXXXXXX,Consumer,PR,3403 Misty Landing,725
Caguas,XXXXXXXXX,Richard,2183,Smith,XXXXXXXXX,Consumer,PR,5744 Cinder Square,725
Caguas,XXXXXXXXX,Mary,7765,Costa,XXXXXXXXX,Consumer,PR,5025 Sunny Farm,725
Caguas,XXXXXXXXX,Cynthia,2662,Smith,XXXXXXXXX,Consumer,PR,8944 Lazy Bluff Maze,725
Caguas,XXXXXXXXX,Billy,9995,Smith,XXXXXXXXX,Consumer,PR,2905 Rocky Pines,725
Caguas,XXXXXXXXX,Mary,7461,Wood,XXXXXXXXX,Consumer,PR,6877 Crystal Nectar Circle,725
Caguas,XXXXXXXXX,Michelle,11657,Smith,XXXXXXXXX,Consumer,PR,5322 Indian Walk,725
Caguas,XXXXXXXXX,Stephanie,4718,Wagner,XXXXXXXXX,Consumer,PR,9375 Round Wood,725
Caguas,XXXXXXXXX,Edward,2412,Soto,XXXXXXXXX,Consumer,PR,432 Dusty Glen,725
Bayamon,XXXXXXXXX,Anna,279,Smith,XXXXXXXXX,Consumer,PR,7373 Shady Island,957
Caguas,XXXXXXXXX,Mary,704,Mccullough,XXXXXXXXX,Consumer,PR,9972 Rocky Mall,725
Caguas,XXXXXXXXX,Mark,3395,Matthews,XXXXXXXXX,Consumer,PR,4569 Jagged Mall,725
Caguas,XXXXXXXXX,Mary,6421,Smith,XXXXXXXXX,Consumer,PR,2515 Rocky Turnabout,725
Caguas,XXXXXXXXX,Cynthia,4121,Doyle,XXXXXXXXX,Consumer,PR,1112 Cinder Woods,725
Caguas,XXXXXXXXX,Harold,11151,Walker,XXXXXXXXX,Consumer,PR,3405 Golden Bear Swale,725
Caguas,XXXXXXXXX,Edward,4875,Peters,XXXXXXXXX,Consumer,PR,6715 Blue Shadow Square,725
Caguas,XXXXXXXXX,Mary,11283,Morgan,XXXXXXXXX,Consumer,PR,3176 Colonial Quay,725
Caguas,XXXXXXXXX,John,4653,Brady,XXXXXXXXX,Consumer,PR,8771 Dewy Blossom Point,725
Caguas,XXXXXXXXX,Mary,5885,Parker,XXXXXXXXX,Consumer,PR,5004 Gentle Mountain Grove,725
Caguas,XXXXXXXXX,Mary,846,Powell,XXXXXXXXX,Consumer,PR,3614 Silver Bend,725
Caguas,XXXXXXXXX,Bruce,432,Mcconnell,XXXXXXXXX,Consumer,PR,8665 Hidden Sky Concession,725
Caguas,XXXXXXXXX,David,4557,Sutton,XXXXXXXXX,Consumer,PR,5517 Harvest Centre,725
Rio Grande,XXXXXXXXX,Mary,4387,Smith,XXXXXXXXX,Consumer,PR,6750 Stony Fawn Wood,745
Caguas,XXXXXXXXX,Patricia,7215,Ruiz,XXXXXXXXX,Consumer,PR,7474 Grand Spring Falls,725
Caguas,XXXXXXXXX,Betty,4755,Smith,XXXXXXXXX,Consumer,PR,1557 Harvest Forest Trace,725
Caguas,XXXXXXXXX,Mary,3561,Smith,XXXXXXXXX,Consumer,PR,9254 Thunder Meadow,725
Caguas,XXXXXXXXX,Mary,4836,Smith,XXXXXXXXX,Consumer,PR,8569 Umber Fox Common,725
Caguas,XXXXXXXXX,Michael,3951,Smith,XXXXXXXXX,Consumer,PR,1507 Indian Autumn Jetty,725
Caguas,XXXXXXXXX,Elizabeth,3498,Ramos,XXXXXXXXX,Consumer,PR,7342 Hidden Walk,725
Caguas,XXXXXXXXX,Mary,11622,Smith,XXXXXXXXX,Consumer,PR,1621 Old Limits,725
Caguas,XXXXXXXXX,Mary,9526,Patrick,XXXXXXXXX,Consumer,PR,9503 Hazy Pine Edge,725
Caguas,XXXXXXXXX,Mary,5751,Pierce,XXXXXXXXX,Consumer,PR,9702 Cotton Treasure Dale,725
Ponce,XXXXXXXXX,Sharon,8433,Short,XXXXXXXXX,Consumer,PR,6797 Quiet Mountain Rise,728
Caguas,XXXXXXXXX,Gloria,11726,Smith,XXXXXXXXX,Consumer,PR,3173 Lost Diversion,725
Caguas,XXXXXXXXX,Sara,11991,Smith,XXXXXXXXX,Consumer,PR,3691 Gentle Way,725
Caguas,XXXXXXXXX,Mary,3520,Smith,XXXXXXXXX,Consumer,PR,9135 Green Island Moor,725
Caguas,XXXXXXXXX,Jean,7857,Bentley,XXXXXXXXX,Consumer,PR,8344 Dewy Fawn Farms,725
Caguas,XXXXXXXXX,Nicole,2979,Smith,XXXXXXXXX,Consumer,PR,8361 Jagged By-pass,725
Caguas,XXXXXXXXX,Mary,10403,Noble,XXXXXXXXX,Consumer,PR,1469 Dewy Berry Road,725
Caguas,XXXXXXXXX,Cynthia,5913,Daniel,XXXXXXXXX,Consumer,PR,1658 Rustic Elk Lane,725
Caguas,XXXXXXXXX,Mildred,1292,Stephens,XXXXXXXXX,Consumer,PR,8237 Silent Pioneer Heights,725
Caguas,XXXXXXXXX,Mary,8233,Hanna,XXXXXXXXX,Consumer,PR,2455 Wishing Horse Row,725
Caguas,XXXXXXXXX,Mary,1629,Smith,XXXXXXXXX,Consumer,PR,8063 Golden Street,725
Caguas,XXXXXXXXX,Mary,9004,Smith,XXXXXXXXX,Consumer,PR,9761 Little Goose Field,725
Caguas,XXXXXXXXX,Joyce,7676,Smith,XXXXXXXXX,Consumer,PR,6298 Cozy Prairie Wood,725
